,Uniprot,Gene_Name,RBP_flag,SVM_SeqOnly_score,DNN_SeqOnly_score,Network_score_MB,Network_score_MB_STRING,optimistic_DNN_SVM,optimistic_DNNSVM_NetMB_STRING,protein_len,Ensembl Gene ID
221,P18887,XRCC1,0,0.594102093,0.3606934,0.834181601,0.885041553,0.681686553,0.93156121,633,ENSG00000073050
222,Q9NZC9,SMARCAL1,0,0.545570569,0.008971263,0.804329686,0.901277397,0.57531631,0.931284628,954,ENSG00000138375
223,Q8N1K8,,0,0.599598855,0.16952123,0.892396216,0.891330492,0.663167123,0.931216329,464,
224,Q9BW30,TPPP3,0,0.971175859,0.6602239,0.232398984,0.25040912,0.944963946,0.930547048,176,ENSG00000159713
225,Q96S55,WRNIP1,0,0.782739991,0.63425833,0.822887851,0.858555067,0.773027857,0.930533479,665,ENSG00000124535
226,Q9UGU5,HMGXB4,0,0.777274166,0.94410247,0.513272903,0.693661406,0.884678584,0.930367175,601,ENSG00000100281
227,P30085,CMPK1,0,0.944223208,0.16899538,0.710580516,0.75228535,0.865720165,0.930339737,196,ENSG00000162368
228,Q9BU08,TCPE,0,0.821181216,0.71099055,0.60762371,0.827719121,0.806344434,0.929935368,539,
229,Q96N11,C7orf26,0,0.1522934,0.15446472,0.943070857,0.903877914,0.533077285,0.929898404,449,ENSG00000146576
230,O60671,RAD1,0,0.147977821,0.29903904,0.912355625,0.902986431,0.552964589,0.929468971,282,ENSG00000113456
231,P60891,PRPS1,0,0.754665266,0.05919376,0.742559185,0.880695899,0.692150705,0.928953562,318,ENSG00000147224
232,P12236,SLC25A6,0,0.634220442,0.503769,0.730021015,0.879207287,0.704916285,0.928897638,298,ENSG00000169100
233,Q2QD09,,0,0.912274161,0.76305383,0.527396398,0.744875215,0.866349482,0.928776108,249,
234,Q15573,TAF1A,0,0.39867598,0.6688803,0.842522932,0.888962335,0.654965693,0.928663047,450,ENSG00000143498
235,Q6MZQ0,PRR5L,0,0.082580041,0.04701212,0.819770449,0.913365501,0.446308367,0.928261953,368,ENSG00000135362
236,B4DQN9,TBB5,0,0.612573267,0.601321,0.723589478,0.877419566,0.70824828,0.927330884,372,
237,Q9NPI1,BRD7,0,0.907078002,0.6975194,0.641975863,0.74412697,0.853301158,0.926631951,651,ENSG00000166164
238,Q96G01,BICD1,0,0.268001798,0.66915,0.833675698,0.893577297,0.627199665,0.926569853,975,ENSG00000151746
239,Q8IV63,VRK3,0,0.030409304,0.19969513,0.787427695,0.903899016,0.49469077,0.926369108,474,ENSG00000105053
240,Q9H4W6,EBF3,0,0.183272004,0.10104608,0.946811552,0.904384084,0.495307536,0.926274748,596,ENSG00000108001
241,Q969X5,ERGIC1,0,0.5,0.02386929,0.885950951,0.898276238,0.562366309,0.925914256,290,ENSG00000113719
242,P15328,FOLR1,0,0.012465963,0.00951226,0.909803829,0.921962054,0.379148415,0.925779196,257,ENSG00000110195
243,P13995,MTHFD2,0,0.925462553,0.20152944,0.543350886,0.745837327,0.851284181,0.925504193,350,ENSG00000065911
244,Q13112,CHAF1B,0,0.633260958,0.042481635,0.80928384,0.889664123,0.628439601,0.925114591,559,ENSG00000159259
245,Q9BQ69,MACROD1,0,0.345704231,0.08941887,0.880423583,0.900510141,0.539083083,0.92506822,325,ENSG00000133315
246,P37198,NUP62,0,0.523566553,0.14831902,0.625761291,0.885739273,0.63365489,0.924972662,522,ENSG00000213024
247,O15014,ZN609,0,0.882142205,0.59902906,0.790156375,0.79093592,0.82844162,0.924866846,1411,ENSG00000180357
248,B4DDU6,TCPE,0,0.645423852,0.71177655,0.729417397,0.865862219,0.730474718,0.924688882,503,
249,Q6ZT07,TBCD9,0,0.107572116,0.099950016,0.903580549,0.904811572,0.470486337,0.924619321,1266,ENSG00000109436
250,B4E266,,0,0.668251095,0.6777547,0.729417397,0.865862219,0.729787319,0.924486039,1130,
251,P09525,ANXA4,0,0.641792239,0.21846558,0.84301701,0.87850066,0.684462743,0.924480028,319,ENSG00000196975
252,P06396,GSN,0,0.913911428,0.24599253,0.766596323,0.774911259,0.838503889,0.924353344,782,ENSG00000148180
253,Q03188,CENPC,0,0.299352199,0.85127753,0.850229009,0.880172118,0.682069424,0.924098764,943,ENSG00000145241
254,P30046,DDT,0,0.087548088,0.07383246,0.848775396,0.907527152,0.457030612,0.923839962,118,ENSG00000099977
255,P50213,IDH3A,0,0.768300885,0.5054512,0.785233629,0.850293471,0.75726842,0.923795827,366,ENSG00000166411
256,P23109,AMPD1,0,0.282363187,0.46387792,0.903513957,0.894004919,0.605045527,0.923717205,780,ENSG00000116748
257,B4DM97,,0,0.754948028,0.15921417,0.729417397,0.865862219,0.72572223,0.923514048,334,
258,Q5JZB8,SPIN2B,0,0.849213296,0.19863904,0.815824074,0.829499008,0.788407931,0.92350765,247,ENSG00000186787
259,P0DN79,CBSL,0,0.830375178,0.61279464,0.792192943,0.819644097,0.801033876,0.923199956,551,ENSG00000274276
260,Q9BQ15,NABP2,0,0.669229027,0.18166141,0.773567173,0.873192929,0.687437165,0.923138718,211,ENSG00000139579
261,Q96LW4,PRIMPOL,0,0.428328186,0.3054438,0.723149209,0.886614982,0.621228817,0.923121949,560,ENSG00000164306
262,Q9P1Y5,CAMP3,0,0.404732215,0.17242627,0.708762255,0.891321421,0.600210218,0.923032163,1249,ENSG00000076826
263,Q49AM1,MTERF2,0,0.376719817,0.3073726,0.410790233,0.888763739,0.608940626,0.922849183,385,ENSG00000120832
264,Q7Z759,CCT8,0,0.738940824,0.22675164,0.729417397,0.865862219,0.721993244,0.922665128,497,
265,Q9H0C8,ILKAP,0,0.584262291,0.39750904,0.8563569,0.877099787,0.681056267,0.92258845,392,ENSG00000132323
266,O75190,DNAJB6,0,0.863907413,0.6432828,0.587856588,0.799824253,0.818315422,0.922565034,326,ENSG00000105993
267,Q99426,TBCB,0,0.434171506,0.22001854,0.853666994,0.886197213,0.61451739,0.92245563,244,ENSG00000105254
268,Q13477,MADCAM1,0,0.008831469,0.07196529,0.933831052,0.910071048,0.413988102,0.922336065,382,ENSG00000099866
269,P30043,BLVRB,0,0.655762557,0.19561018,0.943766013,0.871871681,0.685341213,0.922213436,206,ENSG00000090013
270,Q9Y281,CFL2,0,0.90000876,0.83285993,0.799867039,0.718119978,0.86101527,0.921669588,166,ENSG00000165410
271,Q9H1B7,IRF2BPL,0,0.928217439,0.5904622,0.748019939,0.699502698,0.87169815,0.921529024,796,ENSG00000119669
272,Q15542,TAF5,0,0.90240424,0.7354765,0.529640856,0.724009532,0.85284773,0.921461721,800,ENSG00000148835
273,Q8NB90,SPATA5,0,0.83608077,0.4981345,0.70184676,0.819722096,0.795118212,0.920676831,893,ENSG00000145375
274,P23378,GCSP,0,0.515525879,0.04546788,0.905234819,0.894085512,0.583347741,0.920663083,1020,ENSG00000178445
275,P54652,HSPA2,0,0.877093,0.82712865,0.677028992,0.731317546,0.847739468,0.920539714,639,ENSG00000126803
276,Q13569,TDG,0,0.948284868,0.6981073,0.666713296,0.614200406,0.888489213,0.92049236,410,ENSG00000139372
277,Q96P63,SERPINB12,0,0.125948816,0.28987867,0.94335912,0.896127045,0.544523044,0.92034551,405,ENSG00000166634
278,P05166,PCCB,0,0.744335412,0.6443918,0.856357287,0.844075447,0.755253217,0.919989149,539,ENSG00000114054
279,Q92800,EZH1,0,0.709646921,0.18723644,0.838379278,0.865923382,0.704754763,0.919433897,747,ENSG00000108799
280,Q9NYU2,UGGG1,0,0.578669068,0.6832494,0.903014209,0.864887558,0.705991812,0.91940908,1555,ENSG00000136731
281,Q86WU2,LDHD,0,0.606027102,0.08502753,0.921504108,0.88247899,0.62696341,0.919320214,507,ENSG00000166816
282,Q9ULL5,PRR12,0,0.247209656,0.94010085,0.881731543,0.806005931,0.802699821,0.919114752,1215,ENSG00000126464
283,P43686,PSMC4,0,0.818793156,0.22980851,0.851760147,0.833189386,0.772428501,0.918828599,418,ENSG00000013275
284,P17066,HSPA6,0,0.588613397,0.3696036,0.757731863,0.869842951,0.679957113,0.918623351,643,ENSG00000173110
285,P00492,HPRT1,0,0.667543094,0.3270863,0.887678897,0.865229613,0.700882639,0.91835967,218,ENSG00000165704
286,Q9UMX5,NENF,0,0.818354011,0.17350338,0.854595831,0.834064929,0.768312294,0.918209843,172,ENSG00000117691
287,Q9Y657,SPIN1,0,0.869424573,0.6769079,0.766513872,0.779742748,0.82374181,0.91794569,262,ENSG00000106723
288,Q53R15,MYL1,0,0.691909683,0.17582689,0.729417397,0.865862219,0.695760642,0.917855625,140,
289,Q8IXH7,NELFCD,0,0.797693633,0.26556826,0.697858526,0.841547464,0.755445465,0.917787038,590,ENSG00000101158
290,Q9Y654,CBX1,0,0.766624354,0.28222388,0.837303238,0.847108414,0.740768846,0.917541222,153,
291,B4DQY1,,0,0.619879654,0.39574775,0.729417397,0.865862219,0.692488279,0.91719778,555,
292,P05423,POLR3D,0,0.92637103,0.64032596,0.692961117,0.683339686,0.87074671,0.916743498,398,ENSG00000168495
293,Q96QV6,HIST1H2AA,0,0.62690095,0.12658754,0.913857,0.875821014,0.639753772,0.916342247,131,ENSG00000164508
294,A8K2U0,A2ML1,0,0.141371836,0.1075784,0.385166822,0.897606582,0.482949772,0.916303725,1454,ENSG00000166535
295,Q96AH0,NABP1,0,0.86587681,0.33782947,0.662351016,0.796802625,0.804450975,0.916009868,204,ENSG00000173559
296,Q9H9S3,SEC61A2,0,0.128482345,0.60871196,0.546097242,0.884889111,0.586260454,0.915948116,476,ENSG00000065665
297,Q6YN16,HSDL2,0,0.893398115,0.83467865,0.692405649,0.699868829,0.857780627,0.915778728,418,ENSG00000119471
298,Q6NVI1,MARCKS,0,0.844710444,0.9249813,0.37297645,0.607801149,0.883032672,0.915598182,157,
299,O14579,COPE,0,0.658147895,0.08547897,0.858397435,0.871877553,0.647337999,0.915592581,308,ENSG00000105669
300,P05114,HMGN1,0,0.763966857,0.8459954,0.642877983,0.804121637,0.797361898,0.915404545,100,ENSG00000205581
301,O14950,MYL12B,0,0.789173111,0.2940133,0.891135711,0.835173491,0.754585221,0.915332286,172,ENSG00000118680
302,Q9BVQ7,SPATA5L1,0,0.447278552,0.38209826,0.798415416,0.874300883,0.634938862,0.915121556,753,ENSG00000171763
303,Q70Z35,PREX2,0,0.339832758,0.51890206,0.898740569,0.87855706,0.622538252,0.914658098,1606,ENSG00000046889
304,B1ALG1,SMARCA2,0,0.937472948,0.94257116,0.145026641,0.179878138,0.938970709,0.914630444,236,ENSG00000080503
305,B7Z6Z4,MYL6,0,0.631299685,0.25593323,0.729417397,0.865862219,0.683016166,0.914602385,238,ENSG00000092841
306,O43374,RASA4,0,0.117770055,0.19329351,0.944823999,0.891558443,0.528860982,0.914361639,803,ENSG00000105808
307,Q53RC5,DKFZp547I014,0,0.966825905,0.735664,0.134545096,0.126067166,0.940176941,0.914148242,130,
308,F6VEM6,BAG6,0,0.339631385,0.96862304,0.524527328,0.742165985,0.834875533,0.91403101,258,ENSG00000234651
309,Q9BVA1,TUBB2B,0,0.634226838,0.9310007,0.745966566,0.741719864,0.836634947,0.914017953,445,ENSG00000137285
310,B2RPK0,HMGB1P1,0,0.935519225,0.92876816,0.222676684,0.319921862,0.92801331,0.913530832,211,
311,P08237,PFKM,0,0.422579823,0.32970423,0.843607964,0.874183983,0.623408086,0.913443303,780,ENSG00000152556
312,O43865,AHCYL1,0,0.91837983,0.7425605,0.6394171,0.679157913,0.866735102,0.913326705,530,ENSG00000168710
313,Q9UHV9,PFDN2,0,0.522427842,0.19058983,0.703308637,0.870012209,0.638574417,0.912928401,154,ENSG00000143256
314,P25787,PSMA2,0,0.358503603,0.42029858,0.796020464,0.874439152,0.615707059,0.912125279,234,ENSG00000106588
315,B2R4M6,S10A9,0,0.468048225,0.64032596,0.729417397,0.865862219,0.668028872,0.911705438,114,
316,P05089,ARG1,0,0.732390427,0.53691715,0.872225701,0.836918995,0.741330325,0.911670252,322,ENSG00000118520
317,Q96ME7,ZNF512,0,0.772126583,0.049012836,0.943014181,0.855968765,0.698792076,0.911613922,567,ENSG00000243943
318,Q9BV20,MRI1,0,0.400031256,0.3111477,0.827574123,0.873277648,0.615741384,0.911200882,369,ENSG00000037757
319,Q96AT1,KIAA1143,0,0.917763694,0.66442305,0.764154839,0.668171427,0.860575791,0.910932701,154,ENSG00000163807
320,Q86UV5,UBP48,0,0.640103397,0.34706816,0.674085032,0.855437122,0.696503152,0.910816264,1035,ENSG00000090686
321,A6NKE1,TRAPPC3,0,0.648787188,0.089564584,0.723236503,0.867403794,0.645260625,0.910639153,118,ENSG00000054116
322,Q8WVM7,STAG1,0,0.654649571,0.4268402,0.796590013,0.85170163,0.704361521,0.910630568,1258,ENSG00000118007
323,Q9BQC3,DPH2,0,0.092865796,0.19145854,0.675185051,0.886770723,0.519883202,0.910401763,489,ENSG00000132768
324,Q9UHW5,GPN3,0,0.127096878,0.64032596,0.688657456,0.879637713,0.590134979,0.910382641,284,ENSG00000111231
325,P16152,CBR1,0,0.699827561,0.2525174,0.874479549,0.848976601,0.707762245,0.91013519,277,ENSG00000159228
326,Q5HY92,FIGN,0,0.342881602,0.23106766,0.889175678,0.878273362,0.592472009,0.910074775,759,ENSG00000182263
327,P19784,CSNK2A2,0,0.439179159,0.17569667,0.830774819,0.870775366,0.609448359,0.909086133,350,ENSG00000070770
328,Q9NPF5,DMAP1,0,0.89374498,0.824055,0.699039337,0.667095702,0.855452345,0.908851901,467,ENSG00000178028
329,Q9H2R7,NPD011,0,0.491215112,0.4408446,0.729417397,0.865862219,0.652006434,0.908755973,211,
330,B4DE76,RANG,0,0.524860351,0.28235227,0.729417397,0.865862219,0.648843665,0.908300536,204,
331,Q9H2P9,DPH5,0,0.492125228,0.41643077,0.799832298,0.864951633,0.649141522,0.908178554,285,ENSG00000117543
332,Q70EL2,USP45,0,0.090464579,0.09478054,0.838768582,0.892066152,0.462698324,0.907687728,814,ENSG00000123552
333,Q6ZUT1,NKAPD1,0,0.613025063,0.90807194,0.863404405,0.790281833,0.793415354,0.907653634,292,ENSG00000150776
334,Q7Z7K6,CENPV,0,0.67549967,0.63812196,0.912780046,0.83584347,0.728413803,0.907557768,275,ENSG00000166582
335,Q2M389,WASC4,0,0.702059348,0.42312223,0.90350123,0.838334579,0.722086259,0.907339772,1173,ENSG00000136051
336,Q9Y5Q8,GTF3C5,0,0.391607272,0.05938442,0.737002028,0.881710691,0.546130597,0.907290524,519,ENSG00000148308
337,Q2NKX8,ERC6L,0,0.561539641,0.30013537,0.770338586,0.860929655,0.663688987,0.907121712,1250,ENSG00000186871
338,Q99666,RGPD5,0,0.28402531,0.5876501,0.564254774,0.868463599,0.621678074,0.906773878,1765,ENSG00000015568
339,Q15559,,0,0.125702931,0.03579036,0.892396216,0.891330492,0.455459997,0.906707366,102,
340,B4DF70,PRDX2,0,0.610136321,0.6828367,0.683672879,0.842230562,0.714912659,0.906668855,183,
341,Q9NZW5,MPP6,0,0.705465461,0.31723222,0.816244511,0.841172283,0.715355272,0.906634902,540,ENSG00000105926
342,Q86YZ3,HORN,0,0.226030913,0.12975205,0.893982667,0.884921924,0.510287776,0.906627521,2850,ENSG00000197915
343,Q7Z5R6,APBB1IP,0,0.932819802,0.48071426,0.636909474,0.647450289,0.866192361,0.906520551,666,ENSG00000077420
344,Q8NCB2,CAMKV,0,0.966197387,0.20202605,0.568061531,0.24655399,0.929531224,0.906506356,501,ENSG00000164076
345,P12235,SLC25A4,0,0.666182932,0.24276853,0.838709005,0.847937133,0.692389321,0.906448188,298,ENSG00000151729
346,Q13156,RPA4,0,0.798536297,0.6392956,0.736763244,0.802508251,0.781773877,0.906440539,261,ENSG00000204086
347,Q8TEK3,DOT1L,0,0.24289056,0.88836133,0.77150015,0.843750441,0.702830748,0.90633613,1739,ENSG00000104885
348,Q08AF3,SLFN5,0,0.618397209,0.5996114,0.919453534,0.842182991,0.710675135,0.906037693,891,ENSG00000166750
349,Q6P3W7,SCYL2,0,0.727289422,0.06634403,0.92027804,0.856182029,0.67455571,0.905636631,929,ENSG00000136021
350,Q0ZGT2,NEXN,0,0.871656704,0.62041384,0.723101732,0.739798024,0.822845413,0.905392583,675,ENSG00000162614
351,Q8TDR0,TRAF3IP1,0,0.903763906,0.9574209,0.358598695,0.159938253,0.930628833,0.905273006,691,ENSG00000204104
352,Q9BXT5,TEX15,0,0.163701664,0.2970724,0.933064915,0.878554023,0.55603755,0.904778112,2789,ENSG00000133863
353,Q12894,IFRD2,0,0.147199664,0.51632625,0.682016578,0.871360273,0.578130675,0.904537464,506,ENSG00000214706
354,Q9Y6Y0,IVNS1ABP,0,0.040577082,0.35228828,0.824416396,0.881436399,0.523340494,0.904519143,642,ENSG00000116679
355,Q9NXL9,MCM9,0,0.069938408,0.50498796,0.81388378,0.87893114,0.552943371,0.90440909,1143,ENSG00000111877
356,Q9BZL4,PPP1R12C,0,0.38347055,0.092834525,0.838742457,0.878270155,0.549424391,0.904120202,782,ENSG00000125503
357,Q3YEC7,RABL6,0,0.934095437,0.7966542,0.672105493,0.505455258,0.888137475,0.904084209,729,ENSG00000196642
358,O14967,CLGN,0,0.668007213,0.31014115,0.758356835,0.843184221,0.699194234,0.903993914,610,ENSG00000153132
359,P22033,MUT,0,0.761542562,0.1319233,0.788914688,0.842214929,0.70200173,0.903938324,750,ENSG00000146085
360,Q99623,PHB2,0,0.701839788,0.64032596,0.878353404,0.82405366,0.740675538,0.903832764,299,ENSG00000215021
361,Q59EP7,ADT1,0,0.237871035,0.060508024,0.877763364,0.883331812,0.502796078,0.9037469,261,
362,Q96HE9,PRR11,0,0.170892006,0.06646003,0.90517774,0.884626052,0.483708557,0.903699445,360,ENSG00000068489
363,Q9Y2J0,RPH3A,0,0.751869544,0.74974394,0.830244148,0.801014615,0.775248538,0.903535034,694,ENSG00000089169
364,P21912,SDHB,0,0.745779971,0.029936286,0.85636023,0.852294482,0.67377776,0.903421174,280,ENSG00000117118
365,Q9UC06,ZNF70,0,0.057305047,0.02850084,0.943853107,0.89278815,0.420742646,0.903370434,446,ENSG00000187792
366,B4E386,TBB6,0,0.552263411,0.0479091,0.723236503,0.867403794,0.599579158,0.903147526,300,
367,Q8NEB9,PIK3C3,0,0.944266928,0.34332144,0.692189223,0.595135458,0.872990162,0.903057439,887,ENSG00000078142
368,Q8TCY9,URGCP,0,0.381412165,0.17490418,0.928030472,0.869084625,0.594778508,0.903040064,931,ENSG00000106608
369,Q5VZK9,CARL1,0,0.076240008,0.85899776,0.881184596,0.860583772,0.638698152,0.902954219,1371,ENSG00000079691
370,Q9NPH2,ISYNA1,0,0.805468259,0.06358941,0.836397875,0.829093981,0.723778307,0.902905777,558,ENSG00000105655
371,Q9BU19,ZNF692,0,0.028663601,0.06379694,0.833494191,0.895158284,0.425120636,0.902855857,519,ENSG00000171163
372,Q8WXU2,DNAAF4,0,0.942158497,0.62906486,0.591130906,0.571362823,0.878833021,0.902578291,420,ENSG00000256061
373,Q53FA3,HSPA1L,0,0.932304919,0.90125155,0.223584472,0.344653646,0.905012646,0.902502281,641,ENSG00000226704
374,Q59EJ3,HS71B,0,0.813466883,0.93860525,0.270841845,0.455014937,0.891584888,0.902313367,709,
375,Q96CW1,AP2M1,0,0.868652789,0.854481,0.679483297,0.656323685,0.84759191,0.902082178,435,ENSG00000161203
376,A8K4B4,NUSAP,0,0.755120327,0.84719604,0.745030997,0.775286587,0.7950904,0.90195904,441,
377,P51553,IDH3G,0,0.406243372,0.49643525,0.872280417,0.860150281,0.635114476,0.901887819,393,ENSG00000067829
378,Q2VIK8,,0,0.915659918,0.54936004,0.582834946,0.638976816,0.855155849,0.901886693,319,
379,O00232,PSMD12,0,0.659188364,0.16479233,0.85974753,0.844578702,0.682987392,0.901673553,456,ENSG00000197170
380,K7EM38,ACTG1,0,0.5,0.15562545,0.927379891,0.863253964,0.623350729,0.90159558,133,ENSG00000184009
381,O43252,PAPSS1,0,0.732826753,0.45685676,0.85821694,0.82285811,0.735549724,0.901453158,624,ENSG00000138801
382,Q9BVI0,PHF20,0,0.190241757,0.72589123,0.811411527,0.862652014,0.623944855,0.901297965,1012,ENSG00000025293
383,Q6IAT9,PSMB6,0,0.399498171,0.21669185,0.729417397,0.865862219,0.60597488,0.901224129,239,
384,Q6FI13,HIST2H2AA4,0,0.816669436,0.14926991,0.791164407,0.800742901,0.766048366,0.901146133,130,ENSG00000203812
385,Q6FI13,HIST2H2AA3,0,0.816669436,0.14926991,0.791164407,0.800742901,0.766048366,0.901146133,130,ENSG00000203812
386,P04908,HIST1H2AE,0,0.701986032,0.15490787,0.892225365,0.836118654,0.69976832,0.901098387,130,ENSG00000277075
387,P04908,HIST1H2AB,0,0.701986032,0.15490787,0.892225365,0.836118654,0.69976832,0.901098387,130,ENSG00000277075
388,O14782,KIF3C,0,0.789426436,0.62112,0.821527994,0.79207949,0.777240869,0.900940709,793,ENSG00000084731
389,P0C0S5,H2AFZ,0,0.839732932,0.7675987,0.701688148,0.728728377,0.819323968,0.900912224,128,ENSG00000164032
390,Q9NTI5,PDS5B,0,0.626698624,0.86892354,0.68076643,0.803547518,0.762625642,0.900819953,1447,ENSG00000083642
391,B1AKQ8,GNB1,0,0.361434122,0.15620834,0.723236503,0.867403794,0.585913533,0.900785503,107,ENSG00000078369
392,Q03468,ERCC6,0,0.226432923,0.5166556,0.818744071,0.866912332,0.597280282,0.900758645,1493,ENSG00000225830
393,O76031,CLPX,0,0.59801576,0.1555695,0.729121437,0.850082252,0.660374806,0.900276104,633,ENSG00000166855
394,O00142,TK2,0,0.562461492,0.14144789,0.864981998,0.863233081,0.615680688,0.900209424,265,ENSG00000166548
395,Q00796,SORD,0,0.880531009,0.18363924,0.887819962,0.750713241,0.805511477,0.900094118,357,ENSG00000140263
396,P41218,MNDA,0,0.882295926,0.26406285,0.876764718,0.740350707,0.811465518,0.900045153,407,ENSG00000163563
397,Q9Y5B0,CTDP1,0,0.522911528,0.1452526,0.660752973,0.864993016,0.600573533,0.899997061,961,ENSG00000060069
398,P42898,MTHFR,0,0.744931811,0.29453883,0.778780115,0.82347643,0.728665861,0.899894978,656,ENSG00000177000
399,Q8WWG9,KCNE4,0,0.016061173,0.038654692,0.951282415,0.888933107,0.404458848,0.89978639,221,ENSG00000152049
400,Q9Y4W6,AFG3L2,0,0.730039955,0.021556832,0.651490881,0.848605166,0.661433689,0.899158468,797,ENSG00000141385
401,Q1WWK5,9/9/2019 0:00,0,0.268331966,0.2202865,0.723236503,0.867403794,0.574741014,0.899041769,341,
402,A6NMY6,ANXA2P2,0,0.801849031,0.92516583,0.570365331,0.613894075,0.866764488,0.898940458,339,
403,P15259,PGAM2,0,0.895760191,0.26582086,0.75126885,0.724916332,0.818404302,0.89845963,253,ENSG00000164708
404,Q14353,GAMT,0,0.464677138,0.18577012,0.399858378,0.859057078,0.618497032,0.898238926,236,ENSG00000130005
405,P61599,NAA20,0,0.255161259,0.16942099,0.81178716,0.869433889,0.563465814,0.898189384,178,ENSG00000173418
406,Q9UIS9,MBD1,0,0.190822927,0.11174886,0.644388402,0.879702867,0.498914783,0.898069249,605,ENSG00000141644
407,Q12857,NFIA,0,0.078983353,0.20193975,0.875804415,0.877372435,0.517061986,0.898034273,509,ENSG00000162599
408,Q9HB65,ELL3,0,0.022799847,0.37438652,0.759600146,0.874460269,0.516039856,0.897779782,397,ENSG00000128886
409,Q9H3P2,NELFA,0,0.317792075,0.6514971,0.709706311,0.854731718,0.635695677,0.897630151,528,ENSG00000185049
410,Q15004,PCLAF,0,0.789316891,0.27460986,0.765249533,0.803399981,0.753018692,0.89737618,111,ENSG00000166803
411,P30626,SRI,0,0.402427353,0.15254134,0.831692855,0.863861346,0.596474753,0.897219403,198,ENSG00000075142
412,Q6IBT3,CCT7,0,0.718418828,0.84906995,0.644070568,0.781117362,0.78062817,0.897212071,543,
413,B5BU28,CTNNB1,0,0.316397223,0.19023928,0.729417397,0.865862219,0.582368586,0.897001844,781,
414,Q9NUW4,BRIX,0,0.964907417,0.12992744,0.191937332,0.290600341,0.90371452,0.896964725,129,
415,Q99865,SPIN2A,0,0.686291837,0.20447724,0.779823382,0.830634696,0.695165046,0.896707601,258,ENSG00000147059
416,Q14807,KIF22,0,0.831766668,0.45572636,0.783808967,0.766715082,0.790510329,0.896613896,665,ENSG00000079616
417,P61163,ACTR1A,0,0.538093913,0.08874708,0.907123103,0.861981835,0.601010793,0.896376224,376,ENSG00000138107
418,Q6P4F7,RHGBA,0,0.131683423,0.5406162,0.843328296,0.865462016,0.57755762,0.896346605,1023,ENSG00000198826
419,Q96IJ6,GMPPA,0,0.457560536,0.17661843,0.838464181,0.857242082,0.616142164,0.896328721,420,ENSG00000144591
420,Q75N03,CBLL1,0,0.278022634,0.21297179,0.820553423,0.865945148,0.576780456,0.896248315,491,ENSG00000105879
421,Q8N257,HIST3H2BB,0,0.567763331,0.07341487,0.898969274,0.858536001,0.611267182,0.89612337,126,ENSG00000196890
422,P19105,MYL12A,0,0.746007545,0.28095415,0.888962496,0.817363608,0.727984713,0.895784029,171,ENSG00000101608
423,Q59E91,RPOM,0,0.801560592,0.65527815,0.745030997,0.775286587,0.784349034,0.8955833,1072,
424,O94916,NFAT5,0,0.169942988,0.6961752,0.950579328,0.857885594,0.609281081,0.895497077,1531,ENSG00000102908
425,Q6NVV1,RPL13AP3,0,0.869003554,0.7719295,0.440875721,0.674115213,0.834873079,0.895077273,102,
426,P26232,CTNNA2,0,0.879667594,0.6483784,0.784848248,0.686197697,0.830326238,0.894970122,953,ENSG00000066032
427,P00491,PNP,0,0.205973265,0.20948963,0.917945463,0.866918867,0.558477333,0.894693933,289,ENSG00000198805
428,Q8IUE6,HIST2H2AB,0,0.804141361,0.16728899,0.829636555,0.79811456,0.753182307,0.894599386,130,ENSG00000184270
429,Q6P587,FAHD1,0,0.631392183,0.24002515,0.868725225,0.834214195,0.681864,0.894588314,224,ENSG00000180185
430,P23527,HIST1H2BO,0,0.755225208,0.06575422,0.847166522,0.827832449,0.69380639,0.894323839,126,ENSG00000274641
431,Q16778,HIST2H2BE,0,0.5759427,0.0653134,0.858106911,0.855396325,0.613586616,0.894306358,126,ENSG00000184678
432,F2Z393,TALDO1,0,0.335585477,0.13775866,0.723236503,0.867403794,0.540743109,0.894159256,318,ENSG00000177156
433,Q96HI0,SENP5,0,0.553300104,0.028974928,0.675728538,0.859627934,0.591369422,0.894106508,755,ENSG00000119231
434,Q96PY5,FMNL2,0,0.762243531,0.52870876,0.659429315,0.793073775,0.7560493,0.893813772,1086,ENSG00000157827
435,Q8N6N5,TUBB2C,0,0.753720538,0.9570732,0.323447888,0.374819989,0.89253107,0.893083632,445,
436,Q96QE3,ATAD5,0,0.11844257,0.8697095,0.665313716,0.841955869,0.655575344,0.892972404,1844,ENSG00000176208
437,Q96Q83,ALKBH3,0,0.541861901,0.04879017,0.594037978,0.857736382,0.59467808,0.892788754,286,ENSG00000166199
438,P08559,PDHA1,0,0.588818527,0.07732737,0.90792112,0.850528932,0.619858459,0.892723677,390,ENSG00000131828
439,Q9H0W5,CCDC8,0,0.823279087,0.33887574,0.743559989,0.769105688,0.782760153,0.892599588,538,ENSG00000169515
440,Q2KJY2,KI26B,0,0.096130231,0.5962395,0.833654027,0.862293878,0.575716813,0.892079844,2108,ENSG00000162849
441,Q8N0W7,FMR1NB,0,0.031202034,0.03642838,0.876771965,0.882117897,0.411828057,0.891858215,255,ENSG00000176988
442,Q9BT88,SYT11,0,0.477449968,0.6434051,0.849084366,0.833997478,0.669674265,0.891236977,431,ENSG00000132718
443,Q9UBT2,UBA2,0,0.888575666,0.50120366,0.740456417,0.674585535,0.8293045,0.890733687,640,ENSG00000126261
